OBJECTID,Borough,Type,Latitude,Longitude,X,Y,Location_T,Remarks,City,SSID,SourceID,Activated,BoroCode,Borough Name,Neighborhood Tabulation Area Code (NTACODE),Neighborhood Tabulation Area (NTA),Council Distrcit,Postcode,BoroCD,Census Tract,BCTCB2010,BIN,BBL,DOITT_ID,"Location (Lat, Long)"
12632,3,Free,40.678079,-73.908374,1009664.482,186332.1694,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-002348,1/17/2017,3,Brooklyn,BK79,Ocean Hill,37,11233,316,369,369,3042262,3015520040,3632,"(40.6780789998, -73.9083739999)"
11540,4,Limited Free,40.687073,-73.853153,1024975.734,189629.7884,Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,9/9/9999,4,Queens,QN53,Woodhaven,32,11421,409,16,16,0,0,1064,"(40.6870730002, -73.8531530003)"
10108,1,Free,40.7015991,-74.0093002,981671.2948,194888.0755,Outdoor,,New York,#DwtwnAllianceFreeWiFi,,9/9/9999,1,Manhattan,MN25,Battery Park City-Lower Manhattan,1,10004,101,9,9,1075697,1000020023,534,"(40.7015990998, -74.0093001995)"
12369,3,Free,40.67705,-73.972367,991914.7386,185945.1925,Subway Station,SN 41,Brooklyn,TransitWirelessWiFi,,9/9/9999,3,Brooklyn,BK64,Prospect Heights,39,11217,306,161,161,0,0,1698,"(40.67705, -73.9723670001)"
11053,4,Free,40.763,-73.913259,1008278.884,217270.1068,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-013082,7/10/2017,4,Queens,QN70,Astoria,22,11103,401,149,149,4011927,4006960040,4250,"(40.7629999999, -73.9132590006)"
12286,3,Free,40.65102676,-73.94651287,999091.8492,176467.5162,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-001087,10/30/2017,3,Brooklyn,BK95,Erasmus,40,11203,317,818,818,3108643,3048700040,3469,"(40.6510267597, -73.9465128704)"
11459,1,Free,40.73653988,-73.99715554,985038.2819,207617.9487,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-010900,8/1/2018,1,Manhattan,MN23,West Village,3,10011,102,63,63,1080145,1005760010,3955,"(40.7365398796, -73.9971555402)"
12839,1,Free,40.770946,-73.959496,995469.0304,220155.7946,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000845,11/7/2016,1,Manhattan,MN31,Lenox Hill-Roosevelt Island,4,10021,108,126,126,1044011,1014280050,3343,"(40.7709460001, -73.9594960004)"
9916,3,Free,40.67525519,-74.01035129,981378.72,185290.2528,Library,,Brooklyn,BPLUNWIRED,,9/9/9999,3,Brooklyn,BK33,Carroll Gardens-Columbia Street-Red Hook,38,11231,306,53,53,3008650,3005770029,326,"(40.6752551911, -74.0103512916)"
12712,1,Free,40.76155923,-73.96839056,993006.5983,216734.8701,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000698,6/27/2017,1,Manhattan,MN19,Turtle Bay-East Midtown,4,10022,106,112,112,1086160,1013137500,3289,"(40.7615592304, -73.9683905603)"
10320,3,Free,40.68382059,-73.87137973,1019922.577,188436.8942,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-021920,12/7/2017,3,Brooklyn,BK83,Cypress Hills-City Line,37,11208,305,184,184,3092807,3041470040,4725,"(40.6838205904, -73.8713797301)"
11112,2,Free,40.86487,-73.8928,1013900.988,254391.2442,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-018398,10/26/2017,2,Bronx,BX05,Bedford Park-Fordham North,15,10458,207,399,399,2000000,2032930050,4555,"(40.8648700001, -73.8927999994)"
9652,1,Free,40.74153614,-73.98133262,989422.8817,209438.7829,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000277,1/17/2019,1,Manhattan,MN21,Gramercy,2,10016,106,68,68,1018177,1008830040,4851,"(40.7415361403, -73.9813326198)"
12771,1,Free,40.79782619,-73.96774773,993179.8132,229948.214,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-003875,10/10/2016,1,Manhattan,MN12,Upper West Side,7,10025,107,187,187,1056513,1018730040,3698,"(40.7978261899, -73.9677477303)"
11085,1,Free,40.822924,-73.941723,1000379.299,239095.9605,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-013348,10/19/2016,1,Manhattan,MN03,Central Harlem North-Polo Grounds,9,10039,110,232,232,1088715,1020310000,4282,"(40.8229240001, -73.9417229998)"
10465,3,Limited Free,40.703308,-73.924087,1005298.172,195519.6622,Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,9/9/9999,3,Brooklyn,BK77,Bushwick North,34,11237,304,429,429,0,3032030001,842,"(40.7033079996, -73.9240869998)"
10661,1,Free,40.78001947,-73.98139599,989402.3437,223459.5177,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000949,10/16/2017,1,Manhattan,MN14,Lincoln Square,6,10023,107,159,159,1030545,1011657510,3419,"(40.7800194697, -73.9813959896)"
12313,4,Free,40.74387741,-73.92692611,1004498.651,210299.6766,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-001160,2/21/2017,4,Queens,QN31,Hunters Point-Sunnyside-West Maspeth,26,11101,402,179,179,4003169,4002230020,3496,"(40.74387741, -73.9269261104)"
10978,1,Free,40.8048,-73.9443,999670.2625,232492.2762,Outdoor,,New York,attwifi,,9/9/9999,1,Manhattan,MN34,East Harlem North,9,10027,111,198,198,0,1017190001,11,"(40.8048000002, -73.9443)"
12154,1,Free,40.74762726,-73.98503716,988395.9448,211657.7752,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-012563,10/20/2017,1,Manhattan,MN17,Midtown-Midtown South,4,10016,105,74,74,1017033,1008620070,4169,"(40.7476272599, -73.9850371596)"
12553,1,Free,40.74426003,-73.99939787,984416.8484,210430.632,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000464,4/6/2016,1,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3,10011,104,89,89,1087948,1007457500,3204,"(40.7442600298, -73.9993978695)"
12564,1,Free,40.76663812,-73.98309182,988933.6278,218584.1492,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000484,7/7/2016,1,Manhattan,MN15,Clinton,3,10019,104,139,139,1025451,1010477500,3215,"(40.7666381202, -73.9830918204)"
10753,2,Limited Free,40.818752,-73.82456,1032809.464,237619.2121,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,9/9/9999,2,Bronx,BX52,Schuylerville-Throgs Neck-Edgewater Park,13,10465,210,110,110,0,0,1303,"(40.818752, -73.82456)"
10047,1,Free,40.76125337,-73.95016589,998055.3467,216625.783,Library,,New York,NYPL,,9/9/9999,1,Manhattan,MN31,Lenox Hill-Roosevelt Island,5,10044,108,23801,23801,1084695,1013730030,468,"(40.7612533724, -73.9501658898)"
12599,1,Free,40.82758,-73.949288,998284.5553,240791.0083,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-002061,8/22/2016,1,Manhattan,MN04,Hamilton Heights,7,10031,109,233,233,1061968,1020780060,3605,"(40.8275800002, -73.9492880002)"
10425,3,Free,40.690883,-73.989635,987124.4089,190983.9166,Outdoor,,Brooklyn,Downtown Brooklyn WiFi,,9/9/9999,3,Brooklyn,BK09,Brooklyn Heights-Cobble Hill,33,11201,302,9,9,3002642,3002697501,285,"(40.6908829998, -73.9896349995)"
12594,3,Free,40.692723,-73.983025,988957.3557,191654.5688,Outdoor,,Brooklyn,Downtown Brooklyn WiFi,,9/9/9999,3,Brooklyn,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,33,11201,302,15,15,0,3020600008,999,"(40.6927230002, -73.9830250002)"
11935,3,Free,40.675141,-73.956281,996376.9603,185251.5062,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-018096,2/1/2018,3,Brooklyn,BK61,Crown Heights North,35,11216,308,221,221,3030857,3012240000,4483,"(40.6751409996, -73.9562809996)"
11474,1,Free,40.76047373,-73.97609914,990871.2387,216338.7101,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-013920,10/20/2017,1,Manhattan,MN17,Midtown-Midtown South,4,10019,105,104,104,1034520,1012687500,4369,"(40.7604737301, -73.9760991397)"
12468,1,Free,40.803721,-73.967381,993280.5515,232095.9371,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-001605,6/29/2016,1,Manhattan,MN09,Morningside Heights,7,10025,107,195,195,1057315,1018930040,3553,"(40.8037209997, -73.967381)"
12882,2,Free,40.867038,-73.896537,1012866.419,255179.8877,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-005579,11/8/2016,2,Bronx,BX05,Bedford Park-Fordham North,14,10468,207,401,401,2014144,2031910040,3736,"(40.8670379998, -73.8965369996)"
12441,1,Free,40.79446154,-73.97157309,992121.0686,228721.9885,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-001504,11/23/2016,1,Manhattan,MN12,Upper West Side,6,10025,107,183,183,1033707,1012430040,3526,"(40.7944615402, -73.9715730901)"
11225,1,Free,40.75773384,-73.97543366,991055.8761,215340.5297,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-013801,5/9/2017,1,Manhattan,MN17,Midtown-Midtown South,4,10022,105,102,102,1035455,1012850020,4350,"(40.7577338402, -73.9754336596)"
12805,1,Free,40.70624185,-74.00624351,982518.9565,196579.493,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000774,2/9/2018,1,Manhattan,MN25,Battery Park City-Lower Manhattan,1,10005,101,7,7,1000880,1000390010,3309,"(40.7062418498, -74.0062435098)"
11437,1,Free,40.74275953,-73.98641999,988013.0614,209884.2433,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-010807,4/14/2017,1,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,2,10010,105,56,56,1016880,1008560020,3933,"(40.7427595303, -73.9864199897)"
11286,1,Free,40.73025769,-74.00662855,982412.8642,205329.2065,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-010750,1/26/2017,1,Manhattan,MN23,West Village,3,10014,102,67,67,1009773,1005830000,3916,"(40.7302576896, -74.0066285504)"
12405,3,Free,40.693219,-73.989998,987023.645,191834.9783,Subway Station,SN 335,Brooklyn,TransitWirelessWiFi,,9/9/9999,3,Brooklyn,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,33,11201,302,11,11,0,3001390001,1736,"(40.6932189996, -73.9899979996)"
11555,1,Limited Free,40.805013,-73.944909,999501.6152,232569.7728,Indoor,3 free 10 min sessions,New York,GuestWiFi,0,9/9/9999,1,Manhattan,MN34,East Harlem North,9,10027,111,198,198,1083967,1017190001,1079,"(40.8050129997, -73.9449089999)"
9770,2,Free,40.81618821,-73.90991661,1009184.86,236649.325,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-014393,6/26/2018,2,Bronx,BX34,Melrose South-Mott Haven North,17,10455,201,75,75,2115751,2026240090,4887,"(40.8161882102, -73.9099166103)"
12915,4,Free,40.718602,-73.838184,1029105.929,201124.0394,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-006861,7/29/2016,4,Queens,QN17,Forest Hills,29,11375,406,769,769,4078802,4032930040,3769,"(40.7186019996, -73.8381840006)"
12091,2,Free,40.86264365,-73.90324404,1011013.115,253576.7357,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-000070,9/15/2016,2,Bronx,BX30,Kingsbridge Heights,14,10468,207,253,253,2014307,2031990020,3046,"(40.8626436497, -73.9032440399)"
9634,1,Free,40.77956091,-73.9599541,995340.7085,223294.437,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-010697,9/9/9999,1,Manhattan,MN40,Upper East Side-Carnegie Hill,4,10028,108,142,142,1046790,1014950060,4833,"(40.7795609103, -73.9599541)"
12297,4,Free,40.71316697,-73.82980897,1031431.36,199148.2957,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-001122,7/29/2016,4,Queens,QN60,Kew Gardens,29,11415,409,216,216,4080149,4033580000,3480,"(40.7131669699, -73.8298089703)"
10794,1,Free,40.799075,-73.951822,997588.9822,230405.2233,Subway Station,SN 441,New York,TransitWirelessWiFi,,9/9/9999,1,Manhattan,MN11,Central Harlem South,9,10026,110,186,186,0,0,1616,"(40.7990749998, -73.9518220006)"
10648,1,Free,40.77464584,-73.98239982,989124.7281,221501.666,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000930,7/19/2016,1,Manhattan,MN14,Lincoln Square,6,10023,107,153,153,1028839,1011387500,3406,"(40.77464584, -73.9823998204)"
11025,1,Free,40.74686754,-73.97452006,991310.1319,211381.6577,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-012792,3/23/2018,1,Manhattan,MN20,Murray Hill-Kips Bay,4,10016,106,78,78,1020339,1009180030,4222,"(40.7468675402, -73.9745200604)"
10094,2,Free,40.86298061,-73.89450289,1013430.807,253702.2928,Library,,Bronx,NYPL,,9/9/9999,2,Bronx,BX05,Bedford Park-Fordham North,15,10458,207,39901,39901,2116006,2031540083,520,"(40.8629806052, -73.8945028865)"
10693,1,Free,40.78724687,-73.97764565,990440.3209,226092.9485,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000994,12/14/2016,1,Manhattan,MN12,Upper West Side,6,10024,107,171,171,1033104,1012327500,3451,"(40.7872468703, -73.9776456494)"
9620,1,Free,40.74586329,-73.9802333,989727.1564,211015.3684,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000653,6/12/2018,1,Manhattan,MN20,Murray Hill-Kips Bay,2,10016,105,72,72,1018492,1008890020,4819,"(40.7458632901, -73.9802332999)"
10880,4,Limited Free,40.74243,-73.81151,1036481.359,209820.0886,Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,9/9/9999,4,Queens,QN62,Queensboro Hill,20,11355,407,1215,1215,0,0,1347,"(40.7424300003, -73.8115100003)"
10498,1,Free,40.74319278,-74.00738776,982202.8436,210041.8831,Outdoor,,New York,CICFreeWiFi,,9/9/9999,1,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3,10011,104,83,83,0,0,67,"(40.7431927759, -74.0073877576)"
12643,3,Free,40.6807318,-73.97744609,990505.5741,187286.1744,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-002670,6/23/2017,3,Brooklyn,BK37,Park Slope-Gowanus,39,11217,306,129,129,3018705,3009350010,3643,"(40.6807317996, -73.9774460905)"
11353,1,Free,40.75529,-73.987495,987714.5209,214449.4521,Subway Station,SN 317,New York,TransitWirelessWiFi,,9/9/9999,1,Manhattan,MN17,Midtown-Midtown South,3,10018,105,113,113,0,0,1553,"(40.75529, -73.9874950005)"
10192,4,Free,40.75652086,-73.92521461,1004968.972,214906.4915,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-020933,10/9/2017,4,Queens,QN70,Astoria,26,11106,401,57,57,4009594,4006390020,4640,"(40.7565208602, -73.9252146106)"
12330,1,Free,40.79069,-73.974462,991321.5649,227347.6398,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-001487,4/20/2018,1,Manhattan,MN12,Upper West Side,6,10024,107,175,175,1033308,1012370020,3513,"(40.7906900002, -73.9744619998)"
12221,1,Free,40.74838329,-73.9763443,990804.5118,211933.752,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000232,3/10/2016,1,Manhattan,MN20,Murray Hill-Kips Bay,4,10016,106,80,80,1019272,1008947500,3104,"(40.7483832896, -73.9763442995)"
12814,4,Free,40.70597143,-73.7937866,1041423.848,196548.206,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-000793,9/23/2016,4,Queens,QN61,Jamaica,27,11432,412,460,460,4209622,4097960020,3318,"(40.7059714299, -73.7937866001)"
12695,1,Free,40.741481,-73.983198,988905.9736,209418.5888,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000606,7/19/2017,1,Manhattan,MN21,Gramercy,2,10016,106,68,68,1018134,1008820030,3272,"(40.7414809996, -73.9831980002)"
9809,1,Limited Free,40.824131,-73.942464,1000173.924,239535.5787,Indoor,3 free 10 min sessions,New York,GuestWiFi,0,9/9/9999,1,Manhattan,MN04,Hamilton Heights,9,10039,110,231,231,1084164,1020520001,949,"(40.8241309998, -73.9424640006)"
12340,1,Free,40.79318087,-73.97264858,991823.4241,228255.3011,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-001501,8/7/2017,1,Manhattan,MN12,Upper West Side,6,10025,107,179,179,1033652,1012410050,3523,"(40.7931808696, -73.9726485797)"
11645,4,Limited Free,40.695077,-73.822817,1033383.043,192561.4348,Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,9/9/9999,4,Queens,QN54,Richmond Hill,28,11419,409,148,148,0,0,1201,"(40.6950769996, -73.8228169995)"
12607,3,Free,40.678334,-73.905316,1010512.585,186425.9753,Subway Station,SN 184,Brooklyn,TransitWirelessWiFi,,9/9/9999,3,Brooklyn,BK79,Ocean Hill,37,11233,316,367,367,0,3015460001,1718,"(40.6783340002, -73.9053160001)"
12660,1,Free,40.7555,-73.991425,986625.7036,214525.8308,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000524,4/11/2016,1,Manhattan,MN15,Clinton,3,10018,104,115,115,1013686,1007630030,3237,"(40.7554999999, -73.9914250005)"
10935,1,Free,40.81393,-73.944955,999486.8389,235818.5442,Outdoor,,New York,Harlem Wi-Fi,,9/9/9999,1,Manhattan,MN03,Central Harlem North-Polo Grounds,9,10027,110,226,226,0,0,769,"(40.8139300002, -73.9449549995)"
