CB Link ID,Borough,Community Board,Council District,Latitude,Longitude,Project Status,Street Address,Postcode,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot (BBL),Census Tract (CT),Cross Street 1,Cross Street 2,IxN Corner,GF Permit Application ID,Location
LINK-012923,Manhattan,108,5,40.76777013,-73.95569057,Live,399 EAST 72 STREET,10021,mn-08-120843,01/03/2018 12:00:00 AM,09/28/2017 12:00:00 AM,Lenox Hill-Roosevelt Island,1045843,1014670001,1012400,1 AVENUE,YORK AVENUE,NE,,"(40.76777013, -73.95569057)"
LINK-011158,Manhattan,106,2,40.73160198,-73.98254791,Live,241 1 AVENUE,10003,mn-06-134843,01/03/2018 12:00:00 AM,10/07/2017 12:00:00 AM,Gramercy,1082156,1009210027,1004800,EAST 14 STREET,EAST 15 STREET,NW,,"(40.73160198, -73.98254791)"
LINK-012503,Manhattan,108,4,40.76104904,-73.96418067,Live,1131 2 AVENUE,10022,mn-08-121764,02/22/2018 12:00:00 AM,10/28/2017 12:00:00 AM,Lenox Hill-Roosevelt Island,1043348,1014147503,1011000,EAST 60 STREET,EAST 59 STREET,MIDBLOCK,,"(40.76104904, -73.96418067)"
LINK-014393,Bronx,201,17,40.81618821,-73.90991661,Live,613 WESTCHESTER AVENUE,10455,bx-01-142736,06/26/2018 12:00:00 AM,05/17/2018 12:00:00 AM,Melrose South-Mott Haven North,2115751,2026240086,2007500,CAULDWELL AVENUE,EAGLE AVENUE,NW,,"(40.81618821, -73.90991661)"
LINK-003316,Manhattan,105,4,40.76164,-73.982996,Live,780 7 AVENUE,10019,mn-05-122651,11/11/2016 12:00:00 AM,10/16/2016 12:00:00 AM,Midtown-Midtown South,1024811,1010220035,1013100,WEST 51 STREET,WEST 50 STREET,SW,,"(40.76164, -73.982996)"
LINK-001140,Queens,404,25,40.73454516,-73.87470458,Live,89-02 QUEENS BOULEVARD,11373,qu-04-124921,12/29/2016 12:00:00 AM,11/05/2016 12:00:00 AM,Elmhurst,4064743,4028550012,4047500,56 AVENUE,HOFFMAN DRIVE,SE,,"(40.73454516, -73.87470458)"
LINK-011501,Bronx,205,14,40.85187831,-73.90897566,Live,1966 JEROME AVENUE,10453,bx-05-119597,08/01/2017 12:00:00 AM,04/22/2017 12:00:00 AM,Mount Hope,2008258,2028540001,2024100,EAST TREMONT AVENUE,EAST 179 STREET,NE,,"(40.85187831, -73.90897566)"
LINK-003475,Manhattan,107,6,40.7935244,-73.97088677,Live,720 AMSTERDAM AVENUE,10025,mn-07-107263,10/10/2016 12:00:00 AM,07/28/2016 12:00:00 AM,Upper West Side,1033697,1012430029,1018300,WEST 95 STREET,WEST 96 STREET,NW,,"(40.7935244, -73.97088677)"
LINK-021241,Brooklyn,301,34,40.707581,-73.95531649,Live,361 BROADWAY,11211,bk-01-146092,01/22/2019 12:00:00 AM,06/05/2018 12:00:00 AM,North Side-South Side,3331238,3024630040,3052700,KEAP STREET,HOOPER STREET,NE,82213,"(40.707581, -73.95531649)"
LINK-000888,Manhattan,108,5,40.782159,-73.951699,Live,1622 3 AVENUE,10128,mn-08-119833,03/23/2016 12:00:00 AM,02/15/2016 12:00:00 AM,Upper East Side-Carnegie Hill,1078518,1015200034,1015801,EAST 91 STREET,EAST 92 STREET,NW,,"(40.782159, -73.951699)"
LINK-007632,Manhattan,106,4,40.75234297,-73.97052358,Live,857 2 AVENUE,10017,mn-06-121413,05/17/2018 12:00:00 AM,03/18/2018 12:00:00 AM,Turtle Bay-East Midtown,1037591,1013190029,1009000,EAST 46 STREET,EAST 45 STREET,SW,,"(40.75234297, -73.97052358)"
LINK-012631,Manhattan,105,2,40.74440678,-73.98313231,Live,439 PARK AVENUE SOUTH,10016,mn-05-135635,04/24/2018 12:00:00 AM,02/17/2018 12:00:00 AM,Murray Hill-Kips Bay,1082103,1008850088,1007200,EAST 30 STREET,EAST 29 STREET,SE,,"(40.74440678, -73.98313231)"
LINK-000472,Manhattan,105,3,40.763424,-73.985061,Live,260 WEST 52 STREET,10019,mn-05-139276,04/07/2016 12:00:00 AM,03/18/2016 12:00:00 AM,Midtown-Midtown South,1076198,1010230061,1013100,8 AVENUE,BROADWAY,SE,,"(40.763424, -73.985061)"
LINK-012532,Manhattan,110,9,40.82596687,-73.93976734,Live,2817 FREDERICK DOUGLASS BOULEVARD,10039,mn-10-119900,05/24/2017 12:00:00 AM,04/22/2017 12:00:00 AM,Central Harlem North-Polo Grounds,1060846,1020450096,1025900,WEST 150 STREET,WEST 149 STREET,SW,,"(40.82596687, -73.93976734)"
LINK-000784,Queens,412,24,40.70402028,-73.79869023,Live,160-15 JAMAICA AVENUE,11432,qu-12-141545,10/20/2016 12:00:00 AM,08/18/2016 12:00:00 AM,Jamaica,4208855,4097570047,4044601,161 STREET,160 STREET,NW,,"(40.70402028, -73.79869023)"
LINK-000958,Manhattan,107,6,40.78170535,-73.98080903,Live,215 WEST 76 STREET,10023,mn-07-121223,05/26/2016 12:00:00 AM,05/05/2016 12:00:00 AM,Upper West Side,1030860,1011680021,1016300,BROADWAY,AMSTERDAM AVENUE,NE,,"(40.78170535, -73.98080903)"
LINK-000731,Manhattan,105,4,40.75300305,-73.97924601,Live,330 MADISON AVENUE,10017,mn-05-121662,05/26/2017 12:00:00 AM,04/02/2017 12:00:00 AM,Midtown-Midtown South,1035348,1012770014,1009400,EAST 43 STREET,EAST 42 STREET,NW,,"(40.75300305, -73.97924601)"
LINK-010191,Manhattan,111,9,40.800446,-73.94648352,Live,1413 5 AVENUE,10029,mn-11-100223,01/25/2017 12:00:00 AM,10/15/2016 12:00:00 AM,East Harlem North,1051661,1016210070,1018400,EAST 116 STREET,EAST 115 STREET,SE,,"(40.800446, -73.94648352)"
LINK-019377,Staten Island,502,50,40.564789,-74.115318,Live,2754 HYLAN BOULEVARD,10306,si-02-145738,02/28/2017 12:00:00 AM,02/19/2017 12:00:00 AM,Oakwood-Oakwood Beach,5107591,5039830130,5012806,RENO AVENUE,CANNON BOULEVARD,NE,81713,"(40.564789, -74.115318)"
LINK-001049,Brooklyn,307,38,40.65371111,-74.00525819,Live,968 4 AVENUE,11232,bk-07-125846,06/09/2017 12:00:00 AM,04/28/2017 12:00:00 AM,Sunset Park West,3010388,3007000032,3008400,37 STREET,38 STREET,SW,,"(40.65371111, -74.00525819)"
LINK-011231,Manhattan,104,3,40.7664369,-73.99026177,Live,498 WEST 53 STREET,10019,mn-04-139118,11/08/2017 12:00:00 AM,09/23/2017 12:00:00 AM,Clinton,1026740,1010620003,1013300,10 AVENUE,9 AVENUE,SE,,"(40.7664369, -73.99026177)"
LINK-000839,Manhattan,108,4,40.76893883,-73.96096732,Live,200 EAST 71 STREET,10021,mn-08-120995,03/29/2016 12:00:00 AM,03/05/2016 12:00:00 AM,Lenox Hill-Roosevelt Island,1043920,1014250001,1012600,3 AVENUE,2 AVENUE,SE,,"(40.76893883, -73.96096732)"
LINK-002214,Brooklyn,302,35,40.682932,-73.963959,Live,979 FULTON STREET,11238,bk-02-132668,01/25/2017 12:00:00 AM,12/01/2016 12:00:00 AM,Clinton Hill,3056672,3019790052,3020100,ST JAMES PLACE,WASHINGTON AVENUE,NW,,"(40.682932, -73.963959)"
LINK-001702,Manhattan,109,7,40.82609,-73.950482,Live,3536 BROADWAY,10031,mn-09-111651,07/14/2016 12:00:00 AM,06/24/2016 12:00:00 AM,Hamilton Heights,1061922,1020760061,1022900,WEST 145 STREET,WEST 144 STREET,SE,,"(40.82609, -73.950482)"
LINK-007635,Manhattan,106,4,40.754138,-73.968836,Live,300 EAST 49 STREET,10017,mn-06-121792,02/16/2018 12:00:00 AM,11/04/2017 12:00:00 AM,Turtle Bay-East Midtown,1076278,1013410049,1009000,2 AVENUE,1 AVENUE,SE,,"(40.754138, -73.968836)"
LINK-014642,Manhattan,110,9,40.80404696,-73.95213993,Live,1940 ADAM CLAYTON POWELL JR. BOULEVARD,10026,mn-10-119959,01/09/2017 12:00:00 AM,10/29/2016 12:00:00 AM,Central Harlem South,1084042,1019230029,1021800,WEST 117 STREET,WEST 118 STREET,NW,,"(40.80404696, -73.95213993)"
LINK-000226,Manhattan,106,2,40.73391885,-73.98688143,Live,140 3 AVENUE,10003,mn-06-135857,05/31/2017 12:00:00 AM,04/29/2017 12:00:00 AM,Gramercy,1084936,1008700024,1005000,EAST 15 STREET,EAST 14 STREET,SW,,"(40.73391885, -73.98688143)"
LINK-001689,Manhattan,109,7,40.807508,-73.964488,Live,2943 BROADWAY,10025,mn-09-137848,09/06/2016 12:00:00 AM,08/13/2016 12:00:00 AM,Morningside Heights,1057379,1018960065,1020500,WEST 115 STREET,WEST 116 STREET,NW,,"(40.807508, -73.964488)"
LINK-019315,Bronx,205,14,40.850173,-73.91028173,Live,1 EAST 177 STREET,10453,bx-05-146097,07/13/2018 12:00:00 AM,06/20/2018 12:00:00 AM,Mount Hope,2008247,2028530001,2023301,JEROME AVENUE,WALTON AVENUE,SE,82392,"(40.850173, -73.91028173)"
LINK-013759,Manhattan,106,4,40.75437122,-73.96565023,Live,400 EAST 51 STREET,10022,mn-06-121680,06/07/2018 12:00:00 AM,04/18/2018 12:00:00 AM,Turtle Bay-East Midtown,1040116,1013627502,1008603,1 AVENUE,BEEKMAN PLACE,SE,,"(40.75437122, -73.96565023)"
LINK-021932,Brooklyn,316,37,40.67786155,-73.90430067,Live,2440 FULTON STREET,11233,bk-16-145963,01/05/2018 12:00:00 AM,09/30/2017 12:00:00 AM,Ocean Hill,3042309,3015540016,3036700,VAN SINDEREN AVENUE,SACKMAN STREET,MIDBLOCK,81907,"(40.67786155, -73.90430067)"
LINK-014655,Manhattan,110,9,40.80624896,-73.95009459,Live,2013 ADAM CLAYTON POWELL JR. BOULEVARD,10027,mn-10-120042,01/11/2017 12:00:00 AM,10/15/2016 12:00:00 AM,Central Harlem South,1057660,1019050063,1022000,WEST 121 STREET,WEST 120 STREET,SE,,"(40.80624896, -73.95009459)"
LINK-000464,Manhattan,104,3,40.74426003,-73.99939787,Live,221 8 AVENUE,10011,mn-04-107977,04/06/2016 12:00:00 AM,03/16/2016 12:00:00 AM,Hudson Yards-Chelsea-Flatiron-Union Square,1087948,1007457503,1008900,WEST 21 STREET,WEST 22 STREET,NW,,"(40.74426003, -73.99939787)"
LINK-012363,Manhattan,106,4,40.75499065,-73.96518956,Live,944 1 AVENUE,10022,mn-06-121677,05/09/2018 12:00:00 AM,01/24/2018 12:00:00 AM,Turtle Bay-East Midtown,1081200,1013630047,1008603,EAST 52 STREET,EAST 51 STREET,SE,,"(40.75499065, -73.96518956)"
LINK-011861,Bronx,205,14,40.85384203,-73.90938798,Live,48 WEST BURNSIDE AVENUE,10453,bx-05-119610,02/08/2017 12:00:00 AM,01/25/2017 12:00:00 AM,University Heights-Morris Heights,2008631,2028700026,2024300,GRAND AVENUE,DAVIDSON AVENUE,SE,,"(40.85384203, -73.90938798)"
LINK-000419,Manhattan,105,4,40.75495098,-73.98389868,Live,1100 6 AVENUE,10036,mn-05-122814,04/03/2018 12:00:00 AM,07/29/2017 12:00:00 AM,Midtown-Midtown South,1034195,1012580001,1009600,WEST 42 STREET,WEST 43 STREET,NE,,"(40.75495098, -73.98389868)"
LINK-000326,Manhattan,106,4,40.75262285,-73.97325385,Live,716 3 AVENUE,10017,mn-06-121531,06/07/2017 12:00:00 AM,04/29/2017 12:00:00 AM,Turtle Bay-East Midtown,1036180,1012990040,1009200,EAST 45 STREET,EAST 44 STREET,SW,,"(40.75262285, -73.97325385)"
LINK-003311,Manhattan,105,4,40.759713,-73.984131,Live,719 7 AVENUE,10036,mn-05-122148,06/30/2017 12:00:00 AM,02/18/2017 12:00:00 AM,Midtown-Midtown South,1000000,1010000061,1012500,WEST 48 STREET,WEST 47 STREET,SE,,"(40.759713, -73.984131)"
LINK-002066,Manhattan,109,7,40.829424,-73.948046,Live,3632 BROADWAY,10031,mn-09-136852,03/13/2018 12:00:00 AM,10/28/2017 12:00:00 AM,Hamilton Heights,1062124,1020810061,1023300,WEST 149 STREET,WEST 150 STREET,SE,,"(40.829424, -73.948046)"
LINK-013597,Queens,403,21,40.74772878,-73.88366475,Live,82-03 ROOSEVELT AVENUE,11372,qu-03-125337,09/07/2017 12:00:00 AM,07/08/2017 12:00:00 AM,Jackson Heights,4036213,4014700045,4028300,82 STREET,83 STREET,NE,,"(40.74772878, -73.88366475)"
LINK-000462,Manhattan,104,3,40.7435787,-73.99989422,Live,197 8 AVENUE,10011,mn-04-123508,04/07/2016 12:00:00 AM,03/18/2016 12:00:00 AM,Hudson Yards-Chelsea-Flatiron-Union Square,1013263,1007440036,1008900,WEST 20 STREET,WEST 21 STREET,NW,,"(40.7435787, -73.99989422)"
LINK-013093,Brooklyn,314,40,40.64185835,-73.96283585,Live,1626 CORTELYOU ROAD,11226,bk-14-126362,04/23/2018 12:00:00 AM,12/02/2017 12:00:00 AM,Flatbush,3118755,3051590010,3051400,EAST 17 STREET,EAST 16 STREET,SE,,"(40.64185835, -73.96283585)"
LINK-018046,Queens,406,29,40.72806732,-73.85744565,Live,98-22 QUEENS BOULEVARD,11374,qu-06-145767,04/05/2017 12:00:00 AM,03/04/2017 12:00:00 AM,Forest Hills,4072160,4030860018,4071306,65 ROAD,66 AVENUE,SE,81464,"(40.72806732, -73.85744565)"
LINK-000742,Manhattan,105,4,40.75674218,-73.97652976,Live,410 MADISON AVENUE,10017,mn-05-137210,05/26/2017 12:00:00 AM,04/30/2017 12:00:00 AM,Midtown-Midtown South,1035437,1012840014,1009400,EAST 48 STREET,EAST 49 STREET,NW,,"(40.75674218, -73.97652976)"
LINK-007150,Manhattan,105,3,40.76361577,-73.98498723,Live,870 8 AVENUE,10019,mn-05-122609,11/16/2016 12:00:00 AM,10/01/2016 12:00:00 AM,Midtown-Midtown South,1024825,1010240001,1013100,WEST 52 STREET,WEST 53 STREET,NE,,"(40.76361577, -73.98498723)"
LINK-003247,Manhattan,102,1,40.72059636,-73.99407509,Live,178 BOWERY,10012,mn-02-100727,08/19/2016 12:00:00 AM,07/12/2016 12:00:00 AM,SoHo-TriBeCa-Civic Center-Little Italy,1007145,1004780027,1004100,KENMARE STREET,SPRING STREET,NW,,"(40.72059636, -73.99407509)"
LINK-011425,Bronx,201,17,40.81948845,-73.91366803,Live,3015 3 AVENUE,10455,bx-01-123216,12/22/2016 12:00:00 AM,10/29/2016 12:00:00 AM,Melrose South-Mott Haven North,2097993,2023760047,2006700,EAST 155 STREET,EAST 154 STREET,SW,,"(40.81948845, -73.91366803)"
LINK-000054,Brooklyn,302,33,40.6874966,-73.99002262,Live,126 SMITH STREET,11201,bk-02-127278,09/18/2017 12:00:00 AM,07/01/2017 12:00:00 AM,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3001047,3001870029,3004300,DEAN STREET,PACIFIC STREET,NW,,"(40.6874966, -73.99002262)"
LINK-013082,Queens,401,22,40.763,-73.913259,Live,42-02 30 AVENUE,11103,qu-01-125116,07/10/2017 12:00:00 AM,05/06/2017 12:00:00 AM,Astoria,4011927,4006960037,4014900,42 STREET,43 STREET,SE,,"(40.763, -73.913259)"
LINK-004809,Manhattan,107,7,40.80050433,-73.96610661,Live,200 WEST 106 STREET,10025,mn-07-107743,06/05/2018 12:00:00 AM,12/12/2017 12:00:00 AM,Upper West Side,1056619,1018770036,1019100,AMSTERDAM AVENUE,BROADWAY,SW,,"(40.80050433, -73.96610661)"
LINK-000090,Bronx,207,15,40.86199332,-73.89182996,Live,385 EAST FORDHAM ROAD,10458,bx-07-119793,06/21/2017 12:00:00 AM,08/27/2016 12:00:00 AM,Bedford Park-Fordham North,2016327,2032750065,2039901,DECATUR AVENUE,MARION AVENUE,NW,,"(40.86199332, -73.89182996)"
LINK-013808,Manhattan,105,3,40.75127386,-73.99106942,Live,207 WEST 34 STREET,10001,mn-05-121998,03/27/2018 12:00:00 AM,11/12/2016 12:00:00 AM,Midtown-Midtown South,1014408,1007840041,1010900,7 AVENUE,8 AVENUE,NW,,"(40.75127386, -73.99106942)"
LINK-010708,Manhattan,102,1,40.71819776,-74.000048,Live,241 CANAL STREET,10013,mn-02-122330,05/19/2017 12:00:00 AM,03/18/2017 12:00:00 AM,SoHo-TriBeCa-Civic Center-Little Italy,1002675,1002080019,1004500,CENTRE STREET,LAFAYETTE STREET,NW,,"(40.71819776, -74.000048)"
LINK-000004,Brooklyn,301,34,40.70193034,-73.94223924,Live,32 GRAHAM AVENUE,11206,bk-01-143982,08/02/2017 12:00:00 AM,07/01/2017 12:00:00 AM,East Williamsburg,3071609,3031200003,3049100,DEBEVOISE STREET,COOK STREET,NE,,"(40.70193034, -73.94223924)"
LINK-000532,Manhattan,102,3,40.73967748,-74.00273531,Live,75 8 AVENUE,10014,mn-02-123540,04/15/2016 12:00:00 AM,03/11/2016 12:00:00 AM,West Village,1080226,1006297504,1007700,WEST 14 STREET,GREENWICH AVENUE,SW,,"(40.73967748, -74.00273531)"
LINK-019366,Brooklyn,308,36,40.677504,-73.94969703,Live,575 NOSTRAND AVENUE,11216,bk-08-145831,05/08/2017 12:00:00 AM,03/24/2017 12:00:00 AM,Crown Heights North,3030039,3012070005,3031500,PACIFIC STREET,DEAN STREET,SE,81691,"(40.677504, -73.94969703)"
LINK-000834,Manhattan,108,4,40.76733135,-73.96252262,Live,1172 3 AVENUE,10065,mn-08-120986,04/15/2016 12:00:00 AM,03/19/2016 12:00:00 AM,Upper East Side-Carnegie Hill,1042479,1014030033,1012000,EAST 68 STREET,EAST 69 STREET,NW,,"(40.76733135, -73.96252262)"
LINK-013720,Manhattan,103,2,40.732206,-73.98482253,Live,224 2 AVENUE,10003,mn-03-121470,06/14/2017 12:00:00 AM,03/19/2017 12:00:00 AM,East Village,1006511,1004550005,1004000,EAST 13 STREET,EAST 14 STREET,SE,,"(40.732206, -73.98482253)"
LINK-012609,Manhattan,105,2,40.74417468,-73.98754894,Live,233 5 AVENUE,10016,mn-05-133695,04/04/2018 12:00:00 AM,08/12/2017 12:00:00 AM,Hudson Yards-Chelsea-Flatiron-Union Square,1016882,1008570001,1005600,EAST 27 STREET,EAST 28 STREET,NE,,"(40.74417468, -73.98754894)"
LINK-012372,Manhattan,102,3,40.73598356,-73.99799012,Live,475 6 AVENUE,10011,mn-02-123120,06/12/2018 12:00:00 AM,03/10/2018 12:00:00 AM,West Village,1010577,1006070038,1007100,WEST 12 STREET,WEST 11 STREET,SW,,"(40.73598356, -73.99799012)"
LINK-022396,Manhattan,109,7,40.81410283,-73.95586492,Installed,1356 AMSTERDAM AVENUE,10027,mn-09-146082,,04/14/2018 12:00:00 AM,Manhattanville,1059701,1019820029,1021900,WEST 126 STREET,WEST 125 STREET,SW,82001,"(40.81410283, -73.95586492)"
LINK-000780,Queens,412,24,40.701827,-73.807661,Live,147-05 JAMAICA AVENUE,11435,qu-12-141535,09/23/2016 12:00:00 AM,08/27/2016 12:00:00 AM,Jamaica,4206783,4096770001,4024000,SUTPHIN BOULEVARD,147 PLACE,NE,,"(40.701827, -73.807661)"
LINK-010721,Manhattan,102,3,40.73188717,-74.00119407,Live,347 6 AVENUE,10014,mn-02-122259,07/25/2018 12:00:00 AM,04/14/2018 12:00:00 AM,West Village,1076818,1005920026,1007100,WEST 4 STREET,WEST WASHINGTON PLACE,NW,,"(40.73188717, -74.00119407)"
LINK-011106,Manhattan,104,3,40.74254842,-73.99320916,Live,699 6 AVENUE,10011,mn-04-134489,03/06/2018 12:00:00 AM,10/07/2017 12:00:00 AM,Hudson Yards-Chelsea-Flatiron-Union Square,1014802,1007980041,1009100,WEST 22 STREET,WEST 23 STREET,MIDBLOCK,,"(40.74254842, -73.99320916)"
LINK-001608,Manhattan,109,7,40.80511381,-73.96678806,Installed,601 WEST 111 STREET,10025,mn-09-134916,,05/01/2018 12:00:00 AM,Morningside Heights,1057327,1018940047,1019900,BROADWAY,RIVERSIDE DRIVE,NW,,"(40.80511381, -73.96678806)"
LINK-000556,Manhattan,104,3,40.76560072,-73.98384519,Live,933 8 AVENUE,10019,mn-04-122625,04/13/2016 12:00:00 AM,03/18/2016 12:00:00 AM,Clinton,1025435,1010460030,1013900,WEST 55 STREET,WEST 56 STREET,NW,,"(40.76560072, -73.98384519)"
LINK-011172,Queens,403,25,40.74722343,-73.888492,Live,77-01 ROOSEVELT AVENUE,11372,qu-03-134080,08/25/2017 12:00:00 AM,07/08/2017 12:00:00 AM,Jackson Heights,4029906,4012880048,4028700,77 STREET,78 STREET,NE,,"(40.74722343, -73.888492)"
LINK-010615,Manhattan,104,3,40.7529434,-74.00421615,Live,311 11 AVENUE,10001,mn-04-140358,09/21/2017 12:00:00 AM,06/30/2017 12:00:00 AM,Hudson Yards-Chelsea-Flatiron-Union Square,1012273,1006750036,1009900,WEST 29 STREET,WEST 30 STREET,NW,,"(40.7529434, -74.00421615)"
LINK-013843,Manhattan,104,3,40.73863995,-73.99605667,Live,571 6 AVENUE,10011,mn-04-122265,04/04/2018 12:00:00 AM,02/04/2018 12:00:00 AM,Hudson Yards-Chelsea-Flatiron-Union Square,1014560,1007910036,1008100,WEST 16 STREET,WEST 15 STREET,SW,,"(40.73863995, -73.99605667)"
